gene_symbol	OFO1003B1	OFO1003B2	OFO1003O1	OFO1003O2	OFO1003V1	OFO1003V2	OFO1004B1	OFO1004B2	OFO1004O1	OFO1004O2	OFO1004V1	OFO1004V2	OFO1005B1	OFO1005B2	OFO1005O1	OFO1005O2	OFO1005V1	OFO1005V2
NPTN-IT1	45	44	11	17	22	22	25	17	21	31	13	14	29	21	14	7	30	23
CD276	1836	1591	1080	1122	1292	1263	1877	1833	1537	1953	1337	956	1587	1498	940	1008	1394	1028
C15orf59	446	450	425	498	664	611	247	225	256	273	357	243	498	462	69	86	202	169
LOC101929221	26	34	37	42	26	52	28	15	22	36	35	13	69	75	32	32	54	47
TBC1D21	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
LOXL1-AS1	61	38	36	37	48	34	45	54	59	73	34	25	41	36	39	33	39	35
LOXL1	463	421	141	158	174	180	420	431	411	424	203	174	239	210	90	104	187	164
STOML1	574	559	396	502	558	506	392	388	290	280	310	293	598	633	112	112	356	294
PML	554	506	579	627	679	719	545	555	441	516	581	499	536	598	306	395	442	398
GOLGA6A	4	1	2	0	2	2	1	1	3	5	2	0	1	2	5	5	7	4
LOC283731	58	54	27	17	34	25	50	77	35	39	26	16	41	38	22	34	53	39
ISLR2	2435	2472	1411	1489	3345	3318	852	882	835	1111	1540	1121	3013	3137	144	161	1039	869
ISLR	583	576	296	322	305	360	464	449	45	68	74	71	539	622	30	43	115	96
STRA6	570	617	349	336	282	307	430	470	368	516	194	145	275	282	235	270	239	172
CCDC33	197	203	72	75	79	75	100	122	134	190	14	12	55	62	6	21	24	22
CYP11A1	17	17	18	12	16	15	12	27	18	24	10	11	7	6	43	46	34	35
LOC729739	1	1	0	0	0	1	5	0	1	1	0	0	0	0	2	4	7	2
SEMA7A	449	409	639	625	855	929	381	304	226	348	466	328	645	660	173	178	346	264
MIR6881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBL7	535	505	574	585	635	624	679	632	477	691	573	439	630	577	506	619	619	534
UBL7-AS1	41	49	56	52	35	73	82	72	68	79	65	55	51	32	77	74	79	68
ARID3B	262	248	263	220	313	348	710	732	657	803	820	579	251	263	1392	1435	1319	1060
CLK3	673	683	889	941	1331	1272	976	954	811	1084	1104	819	1169	1076	774	875	869	670
EDC3	1062	1065	940	1004	1243	1285	1138	1250	1049	1331	1143	803	1331	1193	838	876	1038	864
CYP1A1	8	8	12	7	6	16	1	6	2	10	4	2	21	17	8	5	12	17
CYP1A2	2	0	1	1	5	5	1	0	3	4	1	3	12	6	0	2	3	4
CSK	1045	970	952	818	1230	1252	893	851	761	907	892	723	1075	1005	594	627	769	615
MIR4513	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
LMAN1L	0	0	1	1	1	2	1	4	0	1	1	0	4	2	3	1	1	0
CPLX3	87	82	55	42	117	109	65	45	31	43	84	64	122	140	4	7	63	45
ULK3	894	748	848	836	1362	1359	705	752	587	710	862	654	1138	994	428	483	623	536
MIR6882	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
SCAMP2	516	498	411	412	450	460	556	529	390	538	369	285	444	427	396	425	483	434
MPI	575	593	593	576	698	634	624	562	515	695	557	417	712	625	511	567	726	583
FAM219B	1105	1152	992	1017	1592	1481	1015	1034	924	1195	1235	899	1641	1441	602	627	1051	790
COX5A	1263	1322	1320	1458	1544	1524	2118	1786	1524	1873	2103	1498	2061	1759	2866	2917	2912	2368
RPP25	159	145	133	163	173	222	152	157	187	210	232	147	227	220	270	331	335	250
SCAMP5	2461	2408	1788	2001	3356	3350	1354	1232	1470	1840	2152	1482	3768	3398	957	980	2047	1571
PPCDC	83	81	38	48	67	61	145	158	108	144	119	106	48	49	231	264	176	173
C15orf39	211	220	152	141	208	223	224	222	214	263	215	149	150	134	308	447	323	280
GOLGA6C	2	0	3	5	8	5	6	2	10	11	9	4	5	7	13	12	18	8
GOLGA6D	0	0	0	1	1	0	1	1	0	3	0	0	0	1	6	4	2	7
COMMD4	460	395	278	302	365	313	628	514	556	676	528	350	304	259	712	802	685	548
NEIL1	189	191	107	136	241	190	119	113	116	115	172	113	177	162	71	81	118	128
MIR631	6	5	4	2	4	6	4	4	10	3	5	10	4	6	4	2	5	4
MAN2C1	934	943	944	1069	1430	1484	1313	1321	927	1137	1612	1167	940	995	777	851	982	812
SIN3A	1265	1374	899	936	1284	1240	1268	1392	1308	1703	1220	905	1041	1053	1169	1106	1386	1112
PTPN9	1139	1195	764	869	1119	1119	1078	1002	921	1145	1087	796	1342	1221	956	1011	1252	1028
SNUPN	330	335	267	254	294	301	318	349	281	393	324	246	364	362	243	268	384	310
IMP3	510	520	520	511	591	555	687	663	612	669	622	501	680	617	733	873	763	665
SNX33	252	224	115	110	145	142	351	299	275	293	268	166	138	137	235	208	270	211
CSPG4	194	174	139	176	160	179	122	145	46	77	66	47	132	123	54	51	96	66
ODF3L1	6	6	3	8	3	2	2	3	1	4	2	0	3	6	0	1	0	0
DNM1P35	21	30	6	8	17	10	13	7	9	14	19	6	24	15	7	5	17	24
MIR4313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q2	613	652	469	468	671	691	911	850	732	847	943	648	871	666	1061	975	1359	946
FBXO22	404	372	362	460	555	471	797	816	611	756	729	560	659	654	681	752	857	676
FBXO22-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG4	46	44	23	25	36	30	43	31	38	42	22	23	35	34	27	12	20	23
C15orf27	147	114	69	75	93	67	44	47	59	57	62	62	125	134	84	102	168	140
LOC101929439	1	3	1	0	0	4	1	0	0	0	1	0	4	0	1	1	2	1
ETFA	1445	1499	1065	1143	1134	1088	1685	1736	1209	1590	1211	950	1599	1511	1271	1326	1536	1254
TYRO3P	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0
ISL2	0	3	1	2	4	0	9	10	3	5	5	13	3	3	2	8	9	14
SCAPER	826	861	523	587	861	746	596	569	620	769	598	490	1095	1004	395	389	698	566
RCN2	1948	2016	1810	1882	2135	2030	3117	3161	2500	3011	2886	2194	2857	2466	4052	3763	4164	3167
PSTPIP1	17	20	11	7	10	11	39	44	24	23	31	20	20	21	22	31	30	25
TSPAN3	6334	6081	3277	3625	4282	3964	5578	5302	4699	6048	3657	2819	6549	5845	1982	2123	4205	3419
PEAK1	813	710	322	321	466	427	627	642	766	940	541	381	523	441	367	352	565	404
LINC00597	3	2	6	4	7	5	2	4	0	2	9	3	5	5	3	3	4	4
HMG20A	808	790	608	654	903	920	1044	1011	890	1151	1000	753	1084	1020	787	755	1101	882
LINGO1	2487	2186	2095	2274	3186	3162	1630	1646	1700	2108	2277	1787	2678	2841	835	1068	1639	1372
LOC253044	7	2	0	2	3	1	3	2	1	0	0	0	3	2	0	0	4	1
LOC101929478	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC645752	4	1	5	0	1	2	3	7	2	4	5	1	1	0	6	7	5	7
LOC91450	0	2	3	6	15	13	1	1	1	2	3	4	4	5	2	0	7	1
TBC1D2B	524	522	308	292	571	453	377	400	332	444	353	250	572	500	228	242	374	251
MIR5003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D7	27	22	17	18	33	32	8	11	12	13	15	6	37	21	3	3	12	9
CIB2	404	339	472	464	449	399	323	307	287	315	366	295	509	433	321	321	438	421
IDH3A	754	669	441	392	571	627	685	605	504	710	535	368	889	776	724	707	813	667
ACSBG1	71	81	26	12	21	19	77	64	63	66	56	34	62	84	18	16	33	28
DNAJA4	90	69	21	11	54	48	116	95	76	59	75	61	99	92	148	171	144	143
WDR61	496	522	432	450	513	487	579	584	448	574	475	358	624	569	519	479	587	474
CRABP1	756	834	940	1091	613	605	12587	12253	8551	10554	10241	7898	1861	1847	3075	3415	3256	2609
IREB2	1392	1442	1000	1016	1463	1376	1721	1629	1720	2304	1540	1140	1714	1588	1490	1496	1743	1390
HYKK	9	6	5	8	7	6	28	17	15	20	16	17	0	6	30	35	48	20
PSMA4	2132	2024	2414	2475	2688	2496	3042	2951	2517	3071	2757	2114	3037	2693	3376	3395	3320	2651
CHRNA5	111	82	135	127	145	142	271	267	236	245	247	166	152	122	179	184	217	138
CHRNA3	113	121	53	73	104	103	331	330	177	218	275	200	285	289	327	323	324	267
CHRNB4	41	35	48	48	99	69	38	41	33	43	42	37	80	86	25	29	59	31
LOC646938	1	1	0	2	0	0	0	1	0	2	0	0	1	3	1	1	0	1
ADAMTS7	867	777	473	436	546	540	659	739	509	701	666	548	734	693	300	445	618	571
MORF4L1	7910	8065	6707	7035	9092	8757	9695	8921	8250	10790	8672	6210	12297	10814	8533	8108	10636	8426
CTSH	768	778	194	149	163	169	677	606	350	410	134	113	350	286	157	200	208	205
RASGRF1	172	177	88	88	195	185	42	43	86	100	137	111	195	185	18	14	130	104
LOC729911	9	0	0	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0
MIR184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD34C	11	7	0	0	1	0	0	1	1	0	1	0	0	6	2	0	4	2
TMED3	868	903	965	956	1211	1105	1020	895	710	858	934	570	1576	1332	526	502	895	686
KIAA1024	128	158	42	43	64	77	60	70	96	102	43	33	177	131	24	25	107	96
ST20-MTHFS	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
MTHFS	48	31	16	14	27	25	59	57	42	47	39	25	59	43	63	105	115	77
ST20	34	36	30	25	44	43	25	27	22	30	35	19	48	27	36	26	38	38
C15orf37	46	45	20	28	43	40	61	33	45	40	39	27	39	36	20	29	39	34
BCL2A1	5	1	4	3	3	3	5	3	0	5	6	0	5	7	3	2	1	1
ZFAND6	1210	1219	1105	1179	1270	1262	1608	1422	1163	1470	1483	947	1852	1515	1619	1711	2177	1729
FAH	218	174	82	105	102	108	177	150	137	166	134	103	194	193	157	168	205	176
LINC01314	232	186	15	7	15	17	31	27	33	44	6	8	99	64	19	8	71	67
LINC00927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARNT2	3130	3223	1075	1138	1814	1735	1872	1862	1925	2507	1627	1228	3199	3037	424	382	1707	1385
LOC101929586	0	0	3	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0
MIR5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	410	371	325	290	435	386	336	271	256	330	275	214	375	348	214	211	328	233
CEMIP	513	466	223	252	269	294	116	114	104	174	63	44	234	202	22	43	118	111
MIR549A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MESDC2	755	785	530	509	586	550	929	842	744	1058	662	460	617	618	884	903	1092	831
MIR4514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MESDC1	896	759	714	673	837	819	825	748	694	782	721	632	844	808	387	528	649	566
C15orf26	127	120	28	33	30	29	54	54	75	109	7	2	34	28	13	4	10	9
IL16	90	87	48	40	60	58	80	73	60	58	56	34	94	88	42	84	70	63
STARD5	42	22	7	18	26	8	20	37	18	25	15	11	26	15	20	18	34	17
LOC101929655	11	5	14	15	19	15	8	10	12	5	11	7	21	24	7	3	18	15
TMC3	11	4	1	6	7	15	12	8	9	5	4	2	22	12	4	0	14	5
MEX3B	1317	1240	1195	1207	1838	1844	973	941	853	1112	1123	850	1424	1392	307	353	528	415
LOC101929690	2	2	0	2	2	0	0	0	0	1	3	2	1	1	0	1	0	0
EFTUD1	522	516	459	455	527	562	589	598	539	617	555	375	693	635	629	633	814	638
FAM154B	105	92	33	24	15	30	35	39	36	35	11	11	31	35	20	37	58	22
ADAMTS7P1	8	4	3	2	4	3	5	6	3	3	4	7	5	7	1	3	2	1
GOLGA6L10	19	5	5	8	10	9	9	17	19	12	13	16	37	13	15	13	16	10
UBE2Q2P2	9	4	10	9	4	13	3	5	12	16	4	10	9	7	4	7	7	1
GOLGA6L9	68	62	57	47	132	113	47	37	41	53	84	34	54	38	40	33	61	28
LOC80154	421	331	452	478	429	429	215	257	251	300	287	257	207	232	96	146	155	117
GOLGA6L17P	9	16	4	7	5	15	11	3	19	5	3	3	19	2	5	12	4	8
RPS17	1104	895	1546	1939	1452	1305	1372	1322	1079	1286	1284	1067	1383	1443	1327	1527	1712	1182
LOC727751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724034	0	1	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0
CPEB1	96	91	37	37	55	63	142	152	102	114	71	59	132	122	63	90	112	83
LOC283692	6	9	4	0	10	8	5	3	2	7	4	3	5	3	3	1	1	6
AP3B2	879	876	515	546	832	801	297	365	337	407	492	420	911	928	73	75	464	375
LOC338963	3	4	1	2	5	3	5	4	1	2	3	0	3	8	2	0	3	7
LOC283693	16	20	14	11	10	13	26	17	8	17	20	17	9	19	12	8	23	6
SNHG21	77	84	86	97	153	141	74	95	72	100	117	53	123	140	48	44	70	44
FSD2	46	40	39	37	65	83	41	45	41	36	59	40	87	52	26	25	50	27
SCARNA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHAMM	300	252	189	184	266	262	307	263	267	278	185	133	249	214	120	121	141	120
HOMER2	253	257	102	112	137	118	158	189	232	262	151	119	203	215	156	159	196	139
FAM103A1	234	227	152	182	243	217	377	358	281	368	300	244	285	277	411	404	436	299
C15orf40	196	168	111	111	177	148	173	168	135	171	154	88	165	168	136	148	160	111
BTBD1	1294	1239	902	962	1217	1169	1625	1582	1310	1605	1369	976	1965	1692	1122	1189	1519	1289
MIR4515	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TM6SF1	212	186	145	196	268	324	177	182	189	205	242	167	306	293	116	99	227	168
HDGFRP3	2224	2223	1938	2010	3134	2887	2021	1945	1968	2351	2409	1799	3747	3223	1346	1356	2307	1846
BNC1	34	29	4	1	6	8	1	2	0	1	3	0	0	0	30	27	22	18
SH3GL3	257	266	139	105	225	242	72	78	141	112	177	111	360	303	32	37	155	113
ADAMTSL3	97	78	14	14	21	10	28	26	204	207	8	9	66	42	15	7	21	21
EFTUD1P1	17	12	7	4	12	16	7	10	10	7	6	7	13	14	2	2	14	4
UBE2Q2L	7	2	9	6	7	8	5	3	3	7	9	4	8	11	0	0	0	1
LOC440300	28	32	22	8	28	45	12	9	10	12	15	3	44	19	1	4	15	9
GOLGA2P7	299	360	368	352	499	488	298	243	308	380	388	220	285	221	103	125	161	149
LOC642423	140	157	213	189	241	238	138	122	148	195	144	112	262	246	106	96	145	126
GOLGA6L4	30	38	23	27	38	42	25	8	29	35	51	19	8	31	3	4	5	5
LOC103171574	0	0	0	0	1	0	0	0	0	0	1	1	5	10	4	9	4	9
DNM1P41	4	0	7	3	2	6	4	8	14	15	12	11	0	4	0	0	0	1
GOLGA6L5P	78	102	53	48	131	126	39	34	18	30	45	42	156	139	23	20	93	52
UBE2Q2P1	36	34	21	23	51	43	18	20	27	25	26	24	58	50	7	14	29	25
LINC00933	2	1	1	2	4	3	2	1	1	3	4	0	2	0	0	0	2	0
ZSCAN2	362	340	321	302	508	476	237	271	231	303	433	291	446	454	282	318	462	376
SCAND2P	313	286	249	194	347	297	233	218	199	251	231	152	401	341	158	166	236	162
WDR73	427	472	271	286	379	435	522	485	429	540	399	265	369	338	239	251	318	260
NMB	133	139	75	83	84	72	192	166	185	221	113	67	131	117	51	69	112	94
SEC11A	1977	1944	1516	1603	1552	1575	3069	2611	2331	2837	2450	1659	2288	1984	2779	2602	3032	2457
ZNF592	820	889	519	530	739	759	621	714	624	780	629	438	790	751	451	446	559	486
ALPK3	160	152	204	186	163	161	87	127	24	39	39	32	61	77	62	66	126	108
SLC28A1	8	4	2	1	3	1	3	3	4	0	0	2	1	2	0	6	0	0
PDE8A	263	242	107	128	190	181	252	246	129	181	173	101	201	222	123	128	192	140
AKAP13	2005	2037	928	885	1526	1557	1336	1390	1399	1823	1245	937	1580	1396	704	772	1161	928
LOC101929679	29	25	39	48	59	44	19	9	20	15	29	18	16	15	0	1	7	7
KLHL25	861	859	685	746	928	996	504	474	499	661	581	423	741	687	183	176	377	327
MIR1276	0	1	0	4	0	4	0	0	0	1	3	0	1	0	0	0	0	0
LOC101929701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1	5	1	7	2	5	2	3	6	0	4	1	2	0	0	5	3	2	2
AGBL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00052	0	0	0	1	1	1	2	1	0	0	1	2	0	0	1	0	0	0
NTRK3	503	480	561	558	779	769	192	189	249	330	390	299	710	672	126	128	313	277
NTRK3-AS1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
MRPL46	271	277	242	237	298	233	345	327	256	343	294	201	335	359	372	372	334	358
MRPS11	473	459	394	423	459	477	671	582	471	539	449	320	539	530	513	560	529	417
DET1	153	191	146	159	175	180	245	244	182	222	173	161	209	179	135	163	214	154
LOC101929743	1	3	0	0	3	2	4	8	6	1	4	1	3	5	7	0	5	6
MIR1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-2	1	0	0	0	0	1	1	0	1	4	0	0	2	0	0	1	0	2
MIR3529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEN	428	443	613	719	901	833	1156	1090	873	1149	1048	689	853	847	1537	1655	1494	1069
ISG20	68	58	50	30	57	53	108	79	48	30	50	49	66	45	72	82	80	57
ACAN	5	11	1	0	0	3	1	4	4	7	4	0	2	9	45	43	48	35
HAPLN3	35	44	97	57	77	73	56	52	63	68	60	81	62	36	104	106	98	96
MFGE8	1221	1220	729	820	772	738	1754	1955	1892	2531	2465	1811	947	910	2156	2262	2347	2055
ABHD2	5670	5670	1637	1693	2406	2369	2435	2615	4758	6663	1245	990	3319	3283	699	737	1760	1291
RLBP1	11	12	5	0	0	4	9	4	3	7	2	3	12	11	1	0	1	1
FANCI	370	404	608	624	593	606	879	920	937	1199	936	669	257	270	1192	1126	1084	862
POLG	695	688	699	801	1033	980	752	765	617	840	753	528	708	666	514	534	676	514
MIR6766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR9-3	3	0	4	5	2	0	2	0	0	3	0	0	1	1	1	0	1	1
LINC00925	341	315	526	520	654	631	187	200	232	366	236	200	324	269	50	57	110	77
RHCG	26	24	12	13	16	20	22	25	17	24	20	13	32	31	6	6	18	14
LINC00928	43	57	43	27	44	62	13	12	25	42	17	18	77	83	6	4	11	15
TICRR	124	113	180	174	208	209	178	221	269	320	295	205	80	52	371	390	361	306
KIF7	369	413	255	260	328	334	412	415	349	435	298	263	207	246	250	312	302	243
PLIN1	6	8	12	7	9	14	6	3	1	3	1	4	7	2	1	0	5	3
PEX11A	223	266	106	132	163	138	122	105	117	188	72	66	224	177	25	38	95	83
WDR93	96	95	18	17	22	21	38	40	47	73	10	5	17	16	9	4	10	9
MESP1	92	117	99	117	162	184	71	44	59	71	126	73	201	129	10	11	107	65
MESP2	8	7	5	7	17	10	8	7	2	1	2	4	8	6	3	0	9	10
ANPEP	339	255	112	42	116	126	881	908	139	107	92	131	145	51	96	176	158	146
AP3S2	16	19	6	8	14	15	15	16	6	14	10	8	16	7	8	9	11	9
C15orf38-AP3S2	2	6	4	5	5	6	1	2	1	3	5	3	12	1	2	0	3	3
MIR5094	0	1	3	1	1	0	1	0	0	0	0	1	2	3	0	0	1	0
C15orf38	768	789	494	603	646	614	686	700	602	774	555	430	774	627	193	220	364	274
ZNF710	876	882	810	872	1268	1227	932	906	865	1073	1024	750	985	977	421	522	721	548
IDH2	2598	2474	2484	2493	2238	2191	2076	2174	1388	1776	1546	1164	2068	2080	745	846	1065	971
SEMA4B	825	783	395	413	586	609	821	887	546	647	488	430	521	546	458	575	595	514
CIB1	1124	1020	770	858	872	871	1683	1530	1011	1355	840	607	1180	1052	716	842	965	771
GDPGP1	38	49	16	28	44	39	41	40	39	40	30	26	22	26	24	26	32	30
TTLL13	10	10	7	7	11	12	8	11	7	9	6	7	21	27	2	3	10	7
NGRN	5121	5038	5050	5536	6832	6695	4385	4109	3612	4531	4824	3600	7958	7282	1738	1803	4276	3511
GABARAPL3	3	1	4	2	11	6	5	0	3	1	3	5	10	5	2	6	10	7
ZNF774	46	43	24	31	45	44	29	36	27	30	35	23	31	55	17	8	42	22
IQGAP1	1954	1922	901	871	1077	1107	1805	1757	1613	2144	1165	954	1297	1093	2211	2109	2341	1884
CRTC3	547	571	409	407	529	537	410	425	354	420	332	274	551	515	123	142	265	243
LOC101926895	11	9	8	17	13	16	17	22	9	8	9	10	26	13	12	5	24	13
LOC101929765	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1
BLM	95	90	107	113	147	131	286	298	318	411	291	193	74	46	464	430	366	341
FURIN	960	892	591	687	924	884	908	919	604	771	930	688	744	745	915	1087	1210	1006
FES	43	14	12	11	20	4	80	77	38	63	84	56	11	5	115	169	129	96
MAN2A2	1300	1289	971	1076	1783	1713	1023	1034	794	1072	1141	858	1603	1598	423	461	760	628
UNC45A	1277	1195	1026	1126	1258	1243	1390	1372	1091	1303	1228	915	1161	987	1309	1572	1591	1331
HDDC3	226	230	199	211	199	201	349	257	167	271	221	175	257	245	254	308	366	287
RCCD1	358	391	275	300	397	415	312	331	236	383	398	274	354	305	297	367	356	308
PRC1	631	560	1181	1130	1282	1202	814	711	915	1123	1088	808	589	486	947	993	1040	800
PRC1-AS1	6	7	4	1	3	5	2	3	1	1	4	4	5	3	2	1	2	1
VPS33B	536	548	346	414	560	586	486	559	468	531	468	348	606	546	393	414	528	424
LOC101926911	15	16	18	27	20	22	15	16	3	15	14	7	45	27	11	7	20	18
SV2B	397	395	51	58	136	142	80	59	92	109	175	137	549	479	26	20	222	171
LOC101926928	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
SLCO3A1	594	549	263	241	464	429	240	255	410	512	292	172	523	451	94	113	186	162
ST8SIA2	2041	2101	1436	1542	2612	2508	731	796	906	1073	1513	1155	2299	2239	175	182	977	732
C15orf32	0	0	0	0	0	3	1	1	0	0	0	0	2	0	0	0	0	0
LINC00930	0	0	7	7	14	7	0	1	1	1	0	0	5	8	0	0	1	1
FAM174B	187	180	83	98	129	136	187	156	126	131	116	81	167	137	108	112	165	142
ASB9P1	6	4	0	1	1	1	2	0	1	3	0	0	0	1	2	2	3	0
LOC100507217	2028	1850	2754	2219	2772	2658	2224	1656	1883	1957	2040	1664	3108	2548	1152	938	1629	1303
CHD2	3259	3357	2062	2160	3038	2990	2990	2901	2642	3490	2561	1751	3323	3189	1735	1663	2593	1892
MIR3175	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
RGMA	2285	2252	2019	2172	2395	2513	3781	3915	2910	3550	3335	2588	3000	3098	918	1089	2024	1740
LOC101927153	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC101927129	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
LOC101927112	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0
MCTP2	42	41	11	10	11	4	32	21	13	11	6	4	10	15	28	24	20	27
LOC440311	10	5	16	18	7	11	12	20	3	7	8	9	12	14	6	10	14	12
LINC01197	10	8	8	2	7	4	7	12	7	11	25	8	10	16	3	2	9	2
LINC00924	1	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0
NR2F2-AS1	58	53	20	25	25	18	59	47	61	68	38	13	31	37	10	9	37	29
NR2F2	3264	2892	1124	1101	1357	1364	2147	2149	2165	2432	1635	1351	3010	2719	351	332	1467	1312
MIR1469	3	1	0	4	1	0	2	2	1	5	0	4	0	0	2	0	0	0
SPATA8-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
SPATA8	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	1	1
LOC101927286	0	3	0	0	1	0	3	2	0	2	2	2	1	0	3	2	4	6
LOC101927310	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
LINC00923	0	1	2	0	0	1	4	6	0	1	7	4	0	0	1	2	2	0
ARRDC4	2147	2063	1103	1172	1931	1810	2088	1986	2226	2609	2015	1434	1550	1273	647	599	1526	1166
LOC101927332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM169B	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	1
IGF1R	1827	1933	1027	941	1574	1498	1750	1866	1903	2428	1609	1189	1481	1444	1407	1370	1778	1441
MIR4714	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGPEP1L	2	0	0	1	8	6	0	0	0	0	0	3	3	1	1	0	3	1
SYNM	578	595	127	118	222	199	284	342	338	479	183	140	486	436	74	77	319	236
TTC23	356	346	307	312	366	304	359	380	312	391	311	214	329	323	197	229	346	268
LRRC28	181	209	143	124	167	179	134	129	118	146	126	123	232	223	95	84	147	123
HSP90B2P	13	17	11	9	26	10	14	16	10	22	13	16	20	23	12	16	18	17
MEF2A	968	959	494	532	864	884	870	821	761	926	823	581	1081	892	566	560	918	634
LYSMD4	212	211	135	124	186	189	203	192	192	220	171	155	139	125	108	124	195	155
DNM1P46	11	15	11	9	4	5	7	5	2	4	2	0	8	3	1	3	1	3
ADAMTS17	55	65	13	11	22	21	29	27	48	68	4	8	25	38	42	25	29	28
SPATA41	6	2	0	0	4	0	4	1	5	3	3	0	2	3	1	1	1	1
LOC102723320	2	4	0	0	0	0	1	3	0	2	1	0	0	0	2	0	1	0
CERS3	7	9	0	0	0	0	0	0	0	0	2	1	2	3	8	4	6	3
PRKXP1	16	14	6	5	7	6	27	22	30	21	14	16	24	20	9	13	10	10
LINS	143	132	116	117	174	166	147	143	121	160	143	88	162	148	95	91	120	92
ASB7	323	282	201	200	338	328	307	315	256	350	250	183	311	283	211	201	273	223
ALDH1A3	81	77	43	60	24	34	180	172	23	18	22	17	85	95	153	177	184	122
LRRK1	49	32	28	7	27	37	37	32	11	22	21	26	30	39	48	37	36	36
CHSY1	1085	1096	552	495	777	773	745	682	679	772	532	405	760	723	602	565	741	586
VIMP	780	846	634	669	809	797	908	808	710	824	754	460	1020	896	590	758	777	668
SNRPA1	635	567	893	931	1202	1199	1074	890	971	1159	1083	799	1212	1045	1294	1383	1284	982
PCSK6	451	490	173	202	168	192	206	196	276	281	108	85	213	191	92	94	120	108
LOC100507472	6	14	3	4	1	6	4	5	1	3	1	2	1	3	1	0	3	1
TM2D3	924	876	870	896	1391	1316	858	772	770	871	942	681	1515	1336	385	463	743	659
TARSL2	383	437	347	366	431	422	491	478	408	543	364	294	617	534	261	264	364	308
OR4F6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
WASH3P	414	383	346	379	554	527	238	238	185	235	210	157	525	499	210	295	404	249
DDX11L9	0	2	0	0	0	0	0	0	0	0	0	0	2	6	0	1	4	0
DDX11L10	1	2	0	1	1	1	0	0	0	1	2	0	5	1	2	2	1	1
POLR3K	217	206	214	242	208	230	318	271	252	339	308	208	254	261	407	482	366	350
SNRNP25	602	574	410	506	466	427	541	560	508	626	429	336	483	482	591	759	691	604
RHBDF1	195	188	152	183	157	149	422	514	266	310	438	307	181	185	491	598	398	388
